product_id,cell,collection,titre_produit,position,type_visuel,image_reference,output_file,taille,alt_text,image_principale,raison_regen,prompt
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,2,Mise en situation,images/1005012304431034/02-carousel.png,images-generees/1005012304431034/02-mise-en-situation.png,2048x2048,Osmoseur RO 600G sans réservoir en situation d’utilisation,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : osmoseur installé sous un évier de cuisine, robinet dédié posé sur le plan de travail, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,5,Infographie bénéfice,images/1005012304431034/05-carousel.png,images-generees/1005012304431034/05-infographie-benefice.png,2048x2048,Osmoseur RO 600G sans réservoir — caractéristiques clés,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte). IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,1,Packshot studio,images/1005005652496986/01-carousel.png,images-generees/1005005652496986/01-packshot-studio.png,2048x2048,"Système d'osmose inverse 600 GPD sans réservoir OSWNKW Bonum Vitae, photo produit sur fond blanc",oui,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,2,Mise en situation,images/1005005652496986/02-carousel.png,images-generees/1005005652496986/02-mise-en-situation.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW en situation d’utilisation,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : unité d'osmose inverse compacte installée sous un évier, tuyaux bleus de raccordement visibles, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,3,Détail macro,images/1005005652496986/03-carousel.png,images-generees/1005005652496986/03-detail-macro.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW — détail de finition et matériau,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,4,Lifestyle contexte,images/1005005652496986/04-carousel.png,images-generees/1005005652496986/04-lifestyle-contexte.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW Bonum Vitae installé à la maison,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : unité d'osmose inverse compacte installée sous un évier, tuyaux bleus de raccordement visibles, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005008768999224,F16,Osmoseurs (osmose inverse),Osmoseur de cuisine SHUANGLI 600G — osmose inverse,1,Packshot studio,images/1005008768999224/01-carousel.png,images-generees/1005008768999224/01-packshot-studio.png,2048x2048,"Osmoseur de cuisine SHUANGLI 600G Bonum Vitae, photo produit sur fond blanc",oui,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005008768999224,F16,Osmoseurs (osmose inverse),Osmoseur de cuisine SHUANGLI 600G — osmose inverse,2,Mise en situation,images/1005008768999224/02-carousel.png,images-generees/1005008768999224/02-mise-en-situation.png,2048x2048,Osmoseur de cuisine SHUANGLI 600G en situation d’utilisation,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : osmoseur de cuisine blanc SHUANGLI sous évier, robinet chromé dédié, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005008768999224,F16,Osmoseurs (osmose inverse),Osmoseur de cuisine SHUANGLI 600G — osmose inverse,3,Détail macro,images/1005008768999224/03-carousel.png,images-generees/1005008768999224/03-detail-macro.png,2048x2048,Osmoseur de cuisine SHUANGLI 600G — détail de finition et matériau,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005008768999224,F16,Osmoseurs (osmose inverse),Osmoseur de cuisine SHUANGLI 600G — osmose inverse,4,Lifestyle contexte,images/1005008768999224/04-carousel.png,images-generees/1005008768999224/04-lifestyle-contexte.png,2048x2048,Osmoseur de cuisine SHUANGLI 600G Bonum Vitae installé à la maison,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005008768999224/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : osmoseur de cuisine blanc SHUANGLI sous évier, robinet chromé dédié, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005009661849903,F17,Osmoseurs (osmose inverse),Filtration par osmose inverse OSWNKW 600 GPD haut débit,1,Packshot studio,images/1005009661849903/01-carousel.png,images-generees/1005009661849903/01-packshot-studio.png,2048x2048,"Filtration par osmose inverse OSWNKW 600 GPD haut débit Bonum Vitae, photo produit sur fond blanc",oui,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005009661849903,F17,Osmoseurs (osmose inverse),Filtration par osmose inverse OSWNKW 600 GPD haut débit,2,Mise en situation,images/1005009661849903/02-carousel.png,images-generees/1005009661849903/02-mise-en-situation.png,2048x2048,Filtration par osmose inverse OSWNKW 600 GPD haut débit en situation d’utilisation,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : système d'osmose inverse haut débit sous évier, cartouches filtrantes alignées, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
1005009661849903,F17,Osmoseurs (osmose inverse),Filtration par osmose inverse OSWNKW 600 GPD haut débit,4,Lifestyle contexte,images/1005009661849903/04-carousel.png,images-generees/1005009661849903/04-lifestyle-contexte.png,2048x2048,Filtration par osmose inverse OSWNKW 600 GPD haut débit Bonum Vitae installé à la maison,non,texte_parasite,"[IMAGE DE RÉFÉRENCE : images/1005009661849903/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, materiau). Scène : système d'osmose inverse haut débit sous évier, cartouches filtrantes alignées, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté. IMPORTANT : NE reproduis AUCUN texte, logo, etiquette, badge, autocollant, marquage, code ni certification — ni sur le produit, ni en arriere-plan. La surface du produit doit etre LISSE et VIERGE de toute inscription. Produit generique non marque, aspect neuf et epure."
