product_id,cell,collection,titre_produit,position,type_visuel,image_reference,output_file,taille,alt_text,image_principale,prompt
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,1,Packshot studio,images/1005012304431034/01-carousel.png,images-generees/1005012304431034/01-packshot-studio.png,2048x2048,"Osmoseur RO 600G sans réservoir Bonum Vitae, photo produit sur fond blanc",oui,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,2,Mise en situation,images/1005012304431034/02-carousel.png,images-generees/1005012304431034/02-mise-en-situation.png,2048x2048,Osmoseur RO 600G sans réservoir en situation d’utilisation,non,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : osmoseur installé sous un évier de cuisine, robinet dédié posé sur le plan de travail, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,3,Détail macro,images/1005012304431034/03-carousel.png,images-generees/1005012304431034/03-detail-macro.png,2048x2048,Osmoseur RO 600G sans réservoir — détail de finition et matériau,non,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,4,Lifestyle contexte,images/1005012304431034/04-carousel.png,images-generees/1005012304431034/04-lifestyle-contexte.png,2048x2048,Osmoseur RO 600G sans réservoir Bonum Vitae installé à la maison,non,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : osmoseur installé sous un évier de cuisine, robinet dédié posé sur le plan de travail, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005012304431034,F14,Osmoseurs (osmose inverse),Osmoseur RO 600G sans réservoir — eau filtrée à la demande,5,Infographie bénéfice,images/1005012304431034/05-carousel.png,images-generees/1005012304431034/05-infographie-benefice.png,2048x2048,Osmoseur RO 600G sans réservoir — caractéristiques clés,non,"[IMAGE DE RÉFÉRENCE : images/1005012304431034/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,1,Packshot studio,images/1005005652496986/01-carousel.png,images-generees/1005005652496986/01-packshot-studio.png,2048x2048,"Système d'osmose inverse 600 GPD sans réservoir OSWNKW Bonum Vitae, photo produit sur fond blanc",oui,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,2,Mise en situation,images/1005005652496986/02-carousel.png,images-generees/1005005652496986/02-mise-en-situation.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW en situation d’utilisation,non,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : unité d'osmose inverse compacte installée sous un évier, tuyaux bleus de raccordement visibles, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,3,Détail macro,images/1005005652496986/03-carousel.png,images-generees/1005005652496986/03-detail-macro.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW — détail de finition et matériau,non,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,4,Lifestyle contexte,images/1005005652496986/04-carousel.png,images-generees/1005005652496986/04-lifestyle-contexte.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW Bonum Vitae installé à la maison,non,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : unité d'osmose inverse compacte installée sous un évier, tuyaux bleus de raccordement visibles, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
1005005652496986,F15,Osmoseurs (osmose inverse),Système d'osmose inverse 600 GPD sans réservoir OSWNKW,5,Infographie bénéfice,images/1005005652496986/05-carousel.png,images-generees/1005005652496986/05-infographie-benefice.png,2048x2048,Système d'osmose inverse 600 GPD sans réservoir OSWNKW — caractéristiques clés,non,"[IMAGE DE RÉFÉRENCE : images/1005005652496986/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
